MS:  	 1831: 
 house 	 house, 
 seperated 	 separated 
 appartments 	 apartments 
 staircase 	 staircase, 
[DELstart] h[DELend]  	[NO 1831 VARIANT]
 creation; 	 creation: 
 eyeballs 	 eye-balls 
 minutiæ 	 details 
[DELstart] the[DELend]  	[NO 1831 VARIANT]
 slaughter house 	 slaughter-house 
 materials, 	 materials; 
[DELstart] but[DELend][DELstart] wal[DELend][DELstart] was[DELend][ADDstart] whilst[ADDend]  	 occupation, whilst, 
 encreased, 	 increased, 
[DELstart] drew[DELend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 to 
conclusion.[DELstart] sums[DELend]  Summer 	 conclusion.     The summer 
[DELstart] employed[DELend][ADDstart] engaged,[ADDend] heart 	 engaged, heart 
 season: 	 season; 
 yeild 	 yield 
 vintage. But 	 vintage: but 
[DELstart] hut[DELend][ADDstart] insensible[ADDend]  	 insensible 
 nature & 	 nature. And 
[DELstart] caused[DELend][ADDstart] ^[ADDend][ADDstart] made[ADDend]  	 made 
[DELstart] to[DELend] neglect 	 neglect 
 absent 	 absent, 
  	[NO 1831 VARIANT]
 that 	[NO 1831 VARIANT]
 them 	 them; 
 father. "I 	 father: “I 
 "you 	 you 
 yourself 	 yourself, 
[DELstart] thing[DELend]  	 will 
affection  "and 	 affection, and 
 "you. And you 	 you. You 
 "if 	 if 
[DELstart] you[DELend]  	[NO 1831 VARIANT]
 "in 	 in 
 corespondence, 	 correspondence 
 "that 	 that 
[DELstart] studies[DELend][ADDstart] duties[ADDend]  	 duties 
 neglected" 	 neglected.”     
[DELstart] rembered[DELend]  	[NO 1831 VARIANT]
his [DELstart] opinion[DELend]  	[NO 1831 VARIANT]
[ADDstart] his feelings[ADDend]  	 my father’s feelings; 
 occupation 	 employment, 
 itself 	 itself, 
a[DELstart] strong[DELend][ADDstart] n[ADDend]  	 an irresistible 
[DELstart] imagni[DELend]  	[NO 1831 VARIANT]
 wished 	 wished, 
 were 	 were, 
[DELstart] procr[DELend][ADDstart] ^[ADDend] all 	 procrastinate all 
 affection, untill 	 affection until 
object [DELstart] of my affection[DELend][DELstart] was[DELend] which 	 object, which 
 nature 	 nature, 
be I 	 be completed.     I 
[DELstart] in[DELend]  	[NO 1831 VARIANT]
 vice 	 vice, 
[DELstart] in the right[DELend][DELstart] in co conceive[DELend][ADDstart] ^[ADDend][ADDstart] he was[ADDend][ADDstart] X[ADDend][ADDstart] in co conceive[ADDend]  	[NO 1831 VARIANT]
in the  right 	 justified 
blame. . 	 blame. 
[DELstart] cl[DELend]  	[NO 1831 VARIANT]
 mind 	 mind, 
  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] a[ADDend]  	 a 
 any 	 an 
[DELstart] d[DELend]  	[NO 1831 VARIANT]
 affections 	 affections, 
 mix 	 mix, 
 unlawful 	 unlawful, 
[DELstart] it[DELend]  	[NO 1831 VARIANT]
say [DELstart] on that[DELend]  	 say, 
[DELstart] to[DELend]  	[NO 1831 VARIANT]
[DELstart] rul[DELend]  	[NO 1831 VARIANT]
[DELstart] was[DELend][ADDstart] were[ADDend] ways 	 were always 
 his 	 the 
 and 	 of 
 affections 	 affections, 
 never 	 not 
 enslaved, 	 enslaved; 
 country, 	 country; 
gradua[ADDstart] l[ADDend] ly, 	 gradually; 
 Empires 	 empires 
 & 	 and 
destroyed. But 	 destroyed.     But 
 moralizing 	 moralising 
 interresting 	 interesting 
 My 	 proceed.     My 
[DELstart] an[DELend]  	[NO 1831 VARIANT]
before what my [DELstart] co[DELend][DELstart] wer[DELend]  were. Winter spring 	 before. Winter, spring, 
[ADDstart] l[ADDend] abours 	 labours; 
 leaves – sights 	 leaves—sights 
 had alway yeilded 	 always yielded 
delight[DELstart] much[DELend][ADDstart] deeply[ADDend]  	 delight—so deeply 
[DELstart] taken up with[DELend] engrossed 	 engrossed 
  	[NO 1831 VARIANT]
 were 	 had 
 close. And 	 close; and 
 shewed 	 showed 
[DELstart] am[DELend]  anxiety 	 anxiety, 
 mines 	 mines, 
 unwholsome trade 	 unwholesome trade, 
 in 	 by 
[DELstart] nigh[DELend]  	[NO 1831 VARIANT]
fever oppressed  me 	 fever, 
[DELstart] nevous[DELend][ADDstart] ^[ADDend][ADDstart] nervous[ADDend]  	 nervous 
[DELstart] degre[DELend] most 	 most 
[DELstart] fever[DELend] ease 	 leaf startled me, and 
regretted [ADDstart] the[ADDend]  more because 	 shunned my fellow-creatures as if 
[DELstart] my nerves[DELend][DELstart] were fi[DELend]  	 been guilty of a crime. Sometimes I grew alarmed at the wreck I perceived that I 
always  boasted 	 become; the energy 
[ADDstart] the[ADDend][ADDstart] ness[ADDend][ADDstart] ^[ADDend] of 	 my purpose alone sustained me: 
 nerves. But 	 labours would soon end, and 
soon [DELstart] driv[DELend]  	 then 
[DELstart] these[DELend][DELstart] p[DELend][ADDstart] such[ADDend] toms 	 incipient disease; 
[ADDstart] had t[ADDend]  	[NO 1831 VARIANT]
 It 	 I T  
 November 	 November, 
frame on whic  	 accomplishment of 
man comple[DELstart] And[DELend][ADDstart] te[ADDend][ADDstart] ,[ADDend] with 	 toils. With 
amount  ed 	 amounted 
 agony 	 agony, 
me [DELstart] and endeavour to[DELend] that 	 me, that 
might[ADDstart] i[ADDend] nfuse 	 might infuse 
thin[ADDstart] g[ADDend] that 	 thing that 
 morning, 	 morning; 
 window 	[NO 1831 VARIANT]
& my 	 and my 
 when 	 when, 
half extinguish ed light 	 half-extinguished light, 
 open.—It 	 open; it 
limbs.[DELstart] But how[DELend]  	 limbs.     
 emotion 	 emotions 
 catastrophe; 	 catastrophe, 
 form. 	 form? 
 proportion 	 proportion, 
[DELstart] h[DELend]  	[NO 1831 VARIANT]
[DELstart] handsome[DELend][DELstart] handsome[DELend][DELstart] Handsome[DELend][ADDstart] beautiful.[ADDend][ADDstart] Beautiful[ADDend] ; Great 	 beautiful. Beautiful!—Great 
[DELstart] dun[DELend]  	 yellow 
 of 	 was of 
black &  flowing 	 black, 
white  ness 	 whiteness; 
luxurianc[ADDstart] i[ADDend] es 	 luxuriances 
[DELstart] fomed[DELend] formed 	 formed 
 watry eyes 	 watery eyes, 
  	[NO 1831 VARIANT]
 strait 	 straight 
lips. The 	 lips.     The 
 years 	 years, 
[DELstart] f[DELend]  	[NO 1831 VARIANT]
[DELstart] heath[DELend]  	[NO 1831 VARIANT]
exceed[ADDstart] ed[ADDend] moderation; 	 exceeded moderation; 
succeed ed these dreams vanished 	 finished, the beauty of the dream vanished, 
[ADDstart] ^[ADDend] to 	 to 
[DELstart] creature[DELend][ADDstart] being[ADDend]  	 being 
 room 	 room, 
[DELstart] remained[DELend][ADDstart] continued[ADDend]  	 continued 
 bed chamber 	 bedchamber, 
 lenght 	 length 
 endured, 	 endured; 
 my 	 the 
 clothes 	 clothes, 
[DELstart] feew[DELend]  	[NO 1831 VARIANT]
 forgetfullness. 	 forgetfulness. 
 vain; 	 vain: 
 slept indeed 	 slept, indeed, 
 dreams– 	 dreams. I thought 
Elizabeth [ADDstart] ^[ADDend] in 	 Elizabeth, in 
health  	 health, 
 Ingolstadt; delighted & surprised 	 Ingolstadt. Delighted and surprised, 
 her 	 her; 
 lips 	 lips, 
 lurid 	 livid 
  	[NO 1831 VARIANT]
 change 	 change, 
arms[ADDstart] :[ADDend][ADDstart] A[ADDend]  	 arms; a 
 envolepped 	 enveloped 
 form & 	 form, and 
 grave worms 	 grave-worms 
 flannel; 	 flannel. 
[ADDstart] ^[ADDend] from 	 from 
 horror, 	 horror; 
[DELstart] when I saw[DELend]  	[NO 1831 VARIANT]
 forehead 	 forehead, 
[DELstart] ah[DELend]  chattered 	 chattered, 
[DELstart] was[DELend][ADDstart] became[ADDend][ADDstart] s[ADDend] ed, 	 became convulsed: 
 moon 	 moon, 
 wretch — the 	 wretch—the 
created; he hel[ADDstart] d[ADDend] up 	 created. He held up the curtain of 
 curtain, 	 bed; 
eyes[ADDstart] —[ADDend] ; 	 eyes, 
called,[ADDstart] —[ADDend]  	 called, 
 me–His 	 me. His 
 opened 	 opened, 
[DELstart] in[DELend][ADDstart] in[ADDend]  	[NO 1831 VARIANT]
[DELstart] words[DELend] while 	 inarticulate sounds, while 
 spoken 	 spoken, 
 hear — 	 hear; 
[DELstart] had[DELend]  	[NO 1831 VARIANT]
 out 	 out, seemingly 
 me 	 me, 
 escaped 	 escaped, 
[DELstart] ran[DELend] rushed 	 rushed 
[DELstart] the[DELend][DELstart] case[DELend][ADDstart] the[ADDend][ADDstart] case[ADDend]  	 stairs. 
 a 	 the 
 night 	 night, 
 agitation; 	 agitation, 
 arrival 	 approach 
life. Oh! 	 life.     Oh! 
[ADDstart] ^[ADDend][ADDstart] again[ADDend]  	 again 
[DELstart] life[DELend][ADDstart] animation[ADDend]  	 animation 
  	[NO 1831 VARIANT]
 . 	 that wretch. 
[DELstart] and I thought[DELend]  	[NO 1831 VARIANT]
 then. But 	 then; but 
 endued with motion 	 rendered capable of motion, 
[DELstart] to[DELend]  	[NO 1831 VARIANT]
 never 	 not 
conceived. I 	 conceived.     I 
wretchedly–  sometimes 	 wretchedly. Sometimes 
pulse[ADDstart] s[ADDend]  	 pulse 
[ADDstart] ^[ADDend][ADDstart] r[ADDend] dly 	 hardly, 
 artery: At others 	 artery; at others, 
 sunk 	 sank 
[DELstart] with[DELend][ADDstart] thro[ADDend]  	 through 
[DELstart] Surely so wretched a[DELend] and mingled 	 Mingled 
hor ror 	 horror, 
[DELstart] disapp[DELend][DELstart] creature as I never before existed.[DELend] Dreams 	 disappointment; dreams 
me– [DELstart] I[DELend]  	 me; 
complete. Morning — 	 complete!     Morning, 
 wet — 	 wet, 
leng[ADDstart] th[ADDend] dawned, 	 length dawned, 
[DELstart] to[DELend]  	[NO 1831 VARIANT]
Ingols stadt 	 Ingolstadt, 
&[DELstart] the[DELend][ADDstart] the its[ADDend]  clock 	 and clock, 
 pointed to 	 indicated 
sixth[DELstart] e[DELend]  	 sixth 
 court 	 court, 
 assylum 	 asylum, 
 steps 	 steps, 
[DELstart] ough[DELend]  	[NO 1831 VARIANT]
 in 	 of 
  	[NO 1831 VARIANT]
[DELstart] to[DELend]  	[NO 1831 VARIANT]
appartment [ADDstart] ^[ADDend][ADDstart] which[ADDend]  	 apartment which 
 inhabited 	 inhabited, 
 on 	 on, 
 wetted 	 drenched 
[DELstart] drizzling[DELend]  	[NO 1831 VARIANT]
sky. I 	 sky.     I 
 time endeavouring 	 time, endeavouring, 
 exercise 	 exercise, 
 streets 	 streets, 
 was 	 was, 
 doing: my 	 doing. My 
[DELstart] with[DELend][ADDstart] ^[ADDend] in 	 in 
 fear 	 fear; 
 steps 	 steps, 
me, "Like 	 me:—             Like 
 who 	 who, 
lon[ADDstart] es[ADDend] "doth 	 lonely road,     Doth 
dread "and 	 dread,     And, 
round [DELstart] wal[DELend] And 	 round, walks on,     And 
head  "Because 	 head;     Because 
 "doth 	 fiend     Doth 
tread." Continueing 	 tread*.         *   Coleridge’s “Ancient Mariner.”           Continuing 
lenght [DELstart] opposite[DELend] opposite 	 length opposite 
 Inn 	 inn 
 paused 	 paused, 
 why 	 why; 
[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	 it 
 nearer 	 nearer, 
 diligence; 	 diligence: 
 standing, and 	 standing; and, 
  	[NO 1831 VARIANT]
 doors 	 door 
 opened 	 opened, 
 who 	 who, 
  	[NO 1831 VARIANT]
 me 	 me, 
out. "My 	 out. “My 
 Frankenstien," 	 Frankenstein,” 
he  "How 	 he, “how 
 you; 	 you! 
 "fortunate 	 fortunate 
[ADDstart] ^[ADDend][ADDstart] very[ADDend]  	 very 
alighting." Nothing 	 alighting!”     Nothing 
[DELstart] see[DELend]  seing Clerval: 	 seeing Clerval; 
 Elizabeth 	 Elizabeth, 
 misfortune. 	 misfortune; 
felt[ADDstart] ^[ADDend] suddenly, 	 felt suddenly, 
[DELstart] for[DELend][ADDstart] during[ADDend] for 	 during 
 friend therefore 	 friend, therefore, 
manner & we 	 manner, and we 
 colledge. 	 college. 
[DELstart] ran on[DELend][DELstart] talked[DELend]  	[NO 1831 VARIANT]
mutual friends 	 mutual friends, 
[ADDstart] own[ADDend] good 	 own good 
 allowed 	 permitted 
Ingolstadt. "You 	 Ingolstadt. “You 
 believe," 	 easily believe,” 
[DELstart] "that[DELend] "it 	 “how great 
not with[DELstart] out[DELend] "trouble that I persuaded 	 the difficulty to persuade 
 "father 	 father 
it is not absolutely  "and indeed 	 all necessary knowledge was not comprised in the noble art of book-keeping; and, indeed, 
 "incredulous 	 incredulous 
 last 	 last, 
applications  "was 	 unwearied entreaties was 
[ADDstart] ^[ADDend][ADDstart] that of[ADDend] "master 	 that of the Dutch schoolmaster 
Wakefield–   " I 	 Wakefield:—‘I 
florins– [DELstart] a year[DELend][DELstart] yr.[DELend][ADDstart] yr.[ADDend] "eat 	 florins a year without Greek, I eat 
 "But 	 without Greek.’ But 
 "length 	 length 
for  "learning, 	 of learning, 
[ADDstart] ^[ADDend][ADDstart] under[ADDend] take 	 to undertake 
discovery to 	 discovery to 
 "And 	 knowledge.”     “It gives me the greatest delight to see you; but tell me how you left 
brothers &Eliza he "only 	 brothers, and Elizabeth.”     “Very well, and very happy, only 
[DELstart] yo[DELend] "they 	 they 
seldom, & "by 	 seldom. By 
 bye, 	 by, 
 "a 	 a 
 "myself– But 	 myself.—But, 
 Frankenstein" 	 Frankenstein,” 
 he 	 he, 
 short & 	 short, and 
 "full 	 full 
 face "I 	 face, “I 
 "remark 	 remark 
 are. So 	 appear; so 
 "and 	 and 
 appear 	 look 
 "been 	 been 
nights." "You 	 nights.”     “You 
 right" 	 right; 
replied  "I 	[NO 1831 VARIANT]
[DELstart] several[DELend][DELstart] studious[DELend]  	[NO 1831 VARIANT]
occupation[DELstart] s[DELend]  	 occupation, 
[DELstart] did[DELend][ADDstart] have[ADDend][ADDstart] ed[ADDend][ADDstart] ^[ADDend][ADDstart] myself[ADDend]  	 have not allowed myself 
 rest 	 rest, 
[ADDstart] ;[ADDend]  	 see: 
 hope 	 hope, that 
those  "occupations 	 these employments 
 end—I 	 end, and that I 
free  "now 	 at length free.”     
hope." I 	[NO 1831 VARIANT]
 excessively: 	 excessively; 
 bear 	 endure 
of[ADDstart] ,[ADDend] & 	 of, and 
 to 	 to, 
 occurences 	 occurrences 
prece[DELstart] e[DELend] ding 	 preceding 
[DELstart] I continued to walk[DELend][DELstart] theire[DELend]  	[NO 1831 VARIANT]
 therefore 	[NO 1831 VARIANT]
 colledge. 	 college. 
 reflected – 	 reflected, 
 shiver 	 shiver, 
 appartment 	 apartment 
 still there—alive 	 there, alive, 
 see him 	 behold this monster; 
 dreaded 	 feared 
[DELstart] h[DELend][DELstart] I therefore[DELend][ADDstart] ing[ADDend][ADDstart] ^[ADDend][ADDstart] therefore[ADDend] to 	 see him. Entreating him, therefore, to 
[DELstart] while[DELend]  	[NO 1831 VARIANT]
recovered  myself, when 	 recollected myself. 
 paused 	 then paused; 
 open 	 forcibly open, 
 side. But 	 side; but 
  	 in: 
 appartment 	 apartment 
 empty, 	 empty; 
 bedroon 	 bed-room 
[DELstart] belief[DELend]  	[NO 1831 VARIANT]
[DELstart] was[DELend][ADDstart] became[ADDend]  	 became 
 joy 	 joy, 
Henr We 	 Clerval.     We 
room & present  ly 	 room, and 
 breakfast: 	 breakfast; 
 me,–I 	 me; I 
 the 	[NO 1831 VARIANT]
 sensitiveness 	 sensitiveness, 
 place — 	 place; 
hand[ADDstart] s[ADDend] & 	 hands, and 
 arrival– 	 arrival; 
[DELstart] saw[DELend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] more attentively[ADDend] he 	 more attentively, he 
 account 	 account; 
 loud unrestrained 	 loud, unrestrained, 
laugh ter 	 laughter, 
him. My 	 him.     “My 
 Frankenstein," 	 Victor,” 
 he "What 	 he, “what, 
 God's sake 	 God’s sake, 
matter [DELstart] for[DELend]  do 	 matter? Do 
so – [DELstart] What has[DELend]  	 in that manner. 
this? Do 	 this?”     “Do 
 me 	 me,” 
[DELstart] fef[DELend][ADDstart] s[ADDend]  	 hands 
[DELstart] Wh[DELend]  He 	 room; “ he  
 tell! Oh 	 tell.—Oh, 
 me 	 me! 
[DELstart] I[DELend]  me"– 	 me!” 
 me 	 me; 
furious  ly & 	 furiously, and 
fit. Poor 	 fit.     Poor 
 What 	 what 
 feelings. 	 feelings? 
[DELstart] joy[DELend][DELstart] meti[DELend]  meeting 	 meeting, 
 had 	[NO 1831 VARIANT]
 joy 	 joy, 
 did 	 was 
 grief 	 grief; 
[DELstart] senseless[DELend][ADDstart] lifeless[ADDend]  	 lifeless, 
[DELstart] several[DELend]  	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
 This 	 This 
 fever 	 fever, 
  	[NO 1831 VARIANT]
[DELstart] And[DELend]  during 	 During 
 this 	 that 
that [DELstart] kn[DELend]  	 that, 
 fathers 	 father’s 
 age 	 age, 
journey & wretched Elizabeth 	 journey, and how wretched my sickness 
 be 	 make Elizabeth, 
 had 	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] grief[ADDend]  	 grief 
[DELstart] partly[DELend] ing 	 concealing 
 & 	 and 
 himself, and 	 himself; and, 
 had 	 felt 
 recovery 	 recovery, 
 that 	 that, 
 harm 	 harm, 
them. But 	 them.     But 
ill & surely 	 ill; and surely 
[DELstart] affection[DELend] & 	 and 
mo[ADDstart] ^[ADDend][ADDstart] n[ADDend] ster 	 monster 
 life 	 existence 
[ADDstart] my[ADDend] eyes, 	 my eyes, 
[DELstart] incessant[DELend]  	[NO 1831 VARIANT]
[ADDstart] Doubtless[ADDend] My 	 Doubtless my 
[DELstart] no[DELend][DELstart] doubt[DELend] surprised Henry – 	 surprised Henry: 
disordered  imagination 	 disturbed imagination; 
  	[NO 1831 VARIANT]
subject[DELstart] astonished him.[DELend][DELstart] sta[DELend]  	 subject, 
 & 	 and 
[DELstart] It was[DELend]  by 	 event.     By 
 degrees 	 degrees, 
 relapses 	 relapses, 
& grieved 	 and grieved 
friend [DELstart] that[DELend]  	 friend, 
 that 	[NO 1831 VARIANT]
 was 	 became 
 disappeared 	 disappeared, 
 trees. 	 trees that shaded my window. 
 spring & 	 spring; and 
 no doubt 	[NO 1831 VARIANT]
bosom[ADDstart] ,[ADDend]  	 bosom; 
 disappeared 	 disappeared, 
[DELstart] that consumed me[DELend][ADDstart] ,[ADDend] "how 	 passion.     “Dearest Clerval,” exclaimed I, “how kind, how 
 "whole winter 	 whole winter, 
spending it [DELstart] at[DELend]  	 being spent 
 study 	 study, 
 "has 	 has 
room:  "how 	 room. How 
 "the 	 the 
[DELstart] c[DELend] sion of– But 	 occasion; but 
me." "You 	 me.”     “You 
me," replied Henry,  "if 	 me entirely, if 
dis compose yourself; "but 	 discompose yourself, but 
ca[ADDstart] n[ADDend] "since 	 can; and since 
 "spirits 	 spirits, 
 "one subject; 	 one subject, 
not?" I trembled; one 	 not?”     I trembled. One 
 What 	 what 
to[ADDstart] ^[ADDend][ADDstart] an[ADDend]  	 to an 
think. Do not fright en yourself," 	 think?     “Compose yourself,” 
 colour," I 	 colour, “I 
 "it 	 it, 
 you. But 	 you; but 
 "and 	 and 
 so 	 very 
[DELstart] rec[DELend]  	[NO 1831 VARIANT]
 "your 	 your 
 hand – 	 hand-writing. 
 "ill 	 ill 
 "at 	 at 
silence." "My 	 silence.”     “Is that all, my 
 Henry how 	 Henry? How 
 "that 	 that 
 thoughts 	 thought 
[DELstart] that[DELend][ADDstart] ߶[ADDend][ADDstart] those[ADDend]  	 fly towards those 
 "whom 	 whom 
 love 	 love, 
 "of 	 of 
love." "If 	 love.”     “If 
temper"  said Henry "you 	 temper, my friend, you 
perhaps  "to 	 to 
[DELstart] here[DELend]  	[NO 1831 VARIANT]
[DELstart] ly[DELend][DELstart] e[DELend]  	 lying 
 "cousin 	 cousin, 
believe."  	 believe.” 
[ADDstart] Ch V– 113[ADDend] He 	 C LERVAL  
[DELstart] Apri[DELend][ADDstart] March[ADDend] "I cannot describe to you 	 It was from my own Elizabeth:—     “My dearest Cousin,     “You have been ill, very ill, and even 
uneasi ness we have all felt concerning 	 constant letters of dear kind Henry are not sufficient to reassure me on 
 tent of your disorder, for it 	 account. You are forbidden to write—to hold a pen; yet one word from you, dear Victor, 
now  several months since we 	 necessary to calm our apprehensions. For a long time I 
seen  your handwriting and all 	 thought that each post would bring 
time  you 	 line, and my persuasions 
been obliged to dictate to  Henry – Surely Victor you must 	 restrained my uncle from undertaking a journey to Ingolstadt. I 
 and this makes us very wretched as much 	 prevented his encountering the inconveniences and perhaps dangers of 
[DELstart] of this[DELend][DELstart] I[DELend][DELstart] but I entreated him not[DELend][DELstart] to undertake it[DELend][DELstart] because[DELend][DELstart] for[DELend][DELstart] although[DELend][ADDstart] that you were indeed dangerously ill,[ADDend][ADDstart] be[ADDend][ADDstart] st[ADDend][ADDstart] ed[ADDend][ADDstart] ߶[ADDend][ADDstart] undertaking[ADDend][ADDstart] to undertake it[ADDend][ADDstart] ^[ADDend][ADDstart] for[ADDend][ADDstart] n[ADDend]  it has been since 	 long a journey; yet how often have I regretted not being able to perform it myself! I figure to myself that the task of attending on your sick bed has devolved on some mercenary old nurse, who could never guess your wishes, nor minister to them with 
death [DELstart] tha[DELend][DELstart] make him very ill[DELend][DELstart] and[DELend][ADDstart] the[ADDend][ADDstart] have[ADDend] Clerval always 	 care and affection of your poor cousin. Yet that is over now: Clerval 
 were 	 are 
better [DELstart] and[DELend][DELstart] arden[DELend][ADDstart] ^[ADDend]  	 better. I 
this[ADDstart] intelligence[ADDend]  	 this intelligence 
[DELstart] uneasy[DELend][DELstart] impro[DELend][DELstart] well &[DELend][DELstart] far[DELend][ADDstart] ^[ADDend][ADDstart] miserable on this account[ADDend][ADDstart] far[ADDend]  vigorous 	 handwriting.     “Get well—and return to us. You will find a happy, cheerful home, and friends who love you dearly. Your father’s health is vigorous, and he asks but to see you,—but to be assured 
he appears [DELstart] so[DELend][ADDstart] so[ADDend]  that 	 you are well; and not a care will ever cloud his benevolent countenance. How pleased 
hardly  know him; he 	 be to remark the improvement of our Ernest! He 
nearly sixteen  you know 	 sixteen, and full of activity 
has [DELstart] quite[DELend][DELstart] y[DELend] "My 	 spirit. He is desirous to be a true Swiss, and to enter into foreign service; but we cannot part with him, at least until his elder brother return to us. My 
and I conversed [DELstart] the[DELend][DELstart] should be[DELend][ADDstart] should follow[ADDend] of the habit 	 is not pleased with the idea of a military career in a distant country; but Ernest never had your powers 
application and now [DELstart] we[DELend]  he 	 application. He looks upon study as an odious fetter;—his time 
 continually 	 spent 
air [DELstart] on[DELend] climbing 	 air, climbing 
 I, therefore, proposed 	 I fear 
should[DELstart] &[DELend][DELstart] of any[DELend][DELstart] father[DELend][ADDstart] be[ADDend][ADDstart] ^[ADDend][ADDstart] of any.[ADDend][ADDstart] ^[ADDend][ADDstart] educated as[ADDend][ADDstart] that[ADDend] he might 	 will 
a judge. But besides that  he is not at all fit for such 	[NO 1831 VARIANT]
[DELstart] better[DELend][DELstart] honourable[DELend][DELstart] to[DELend][ADDstart] more honourable[ADDend][ADDstart] creditable[ADDend]  cultivate the earth for 	 idler, unless we yield 
suste[DELstart] it[DELend]  	 point, and permit him 
 be 	 enter on 
[DELstart] a helpmate[DELend][DELstart] their[DELend][ADDstart] a[ADDend][ADDstart] the accomplice[ADDend][ADDstart] his[ADDend]  vices; 	 profession 
is the employment[ADDstart] ^&[ADDend] And if 	[NO 1831 VARIANT]
should become [DELstart] rich[DELend] the occupation 	 has selected.     “Little alteration, except the growth 
a prosperous My uncle smiled 	 our dear children, has taken place since you left us. The blue lake, and snow-clad mountains, they never change;—and I think our placid home, and our contented hearts are regulated by the same immutable laws. My trifling occupations take up my time 
 said that 	 amuse me, and 
[DELstart] ougt[DELend][ADDstart] g[ADDend] story that will please you. 	 am rewarded for any exertions by seeing none but happy, kind faces around me. Since you left us, but one change has taken place in our little household. 
 not 	[NO 1831 VARIANT]
[DELstart] Ju[DELend]  	 on what occasion 
[DELstart] Martin[DELend] Perhaps 	 Moritz entered our family? Probably 
 not 	 not; 
therefore  tell you 	 relate 
 story 	 history, therefore, 
Mad.  Martin 	 Madame Moritz, 
 Mother 	 mother, 
 children 	 children, 
[DELstart] this[DELend]  	[NO 1831 VARIANT]
[DELstart] favou[DELend]  	[NO 1831 VARIANT]
father [DELstart] and[DELend][ADDstart] butthro[ADDend]  an odd perversity 	 father; but, through a strange perversity, 
Mother [DELstart] never[DELend]  	 mother 
[DELstart] bear[DELend][ADDstart] ^[ADDend] not 	 not 
 her and 	 her, and, 
[DELstart] Martin[DELend][ADDstart] Moritz[ADDend]  	 Moritz, 
 this, and 	 this; and, 
[DELstart] ten[DELend]  	[NO 1831 VARIANT]
old   	 of age, 
house. The 	 house. The 
[DELstart] state[DELend]  country, 	 country 
 & 	 and 
[DELstart] Ju Whilst[DELend] Hence 	 Hence 
dis[DELstart] s[DELend]  	 distinction 
into  & 	 of its inhabitants; and 
 despised 	 despised, their manners 
 & 	 and 
 at 	 in 
or England [DELstart] was[DELend] thus recieved into 	 and England. Justine, thus received in 
family to  learn 	 family, learned 
 servant, which 	 condition which, 
 country 	 country, 
sacri fize 	 sacrifice 
[DELstart] Where[DELend]  I dare say that 	 being.     “Justine, 
now  remember all about it, for Justine 	 may remember, 
 yours, & 	 yours; and 
[DELstart] remember[DELend][ADDstart] recollect[ADDend]  	 recollect 
 said, 	 remarked, 
  	[NO 1831 VARIANT]
[DELstart] a[DELend]  	[NO 1831 VARIANT]
 ill humour 	 ill-humour, 
 Justine, 	 Justine 
it [DELstart] from[DELend][ADDstart] for[ADDend]  	 it, for 
 gave 	 gives 
 Angelica:– she 	 Angelica—she 
 frank hearted 	 frank-hearted 
Aunt [DELstart] was very fond of her which[DELend][DELstart] caused[DELend] concieved an 	 aunt conceived a great 
[DELstart] her to[DELend][ADDstart] ^[ADDend][ADDstart] was[ADDend][ADDstart] induced[ADDend][ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 was induced to 
an[DELstart] d[DELend]  	 an 
[ADDstart] ^[ADDend][ADDstart] had[ADDend]  	 had 
intended[DELstart] and she[DELend][ADDstart] .[ADDend] This 	 intended. This 
[DELstart] for[DELend]  	[NO 1831 VARIANT]
 world. 	 world: 
 professions–I 	 professions; I 
lips [DELstart] w[DELend]  	 lips; 
 eye 	 eyes 
 very 	 her disposition was 
Aunt–  she 	 aunt. She 
[DELstart] miracle[DELend][ADDstart] model[ADDend]  	 model 
[DELstart] perfection[DELend][ADDstart] all[ADDend][ADDstart] excellence,[ADDend]  	 all excellence, 
 words 	 phraseology 
 even her 	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] even[ADDend]  	 even 
[DELstart] very[DELend]  	[NO 1831 VARIANT]
[DELstart] puts[DELend][DELstart] in mind[DELend]  	 reminds me 
[DELstart] You did not[DELend] When 	    “When 
 Aunt died 	 aunt died, 
  	[NO 1831 VARIANT]
[DELstart] grif[DELend]  	[NO 1831 VARIANT]
 Justine 	 Justine, 
[DELstart] whole[DELend] illness 	 illness 
 greatest 	 most anxious 
 ill 	 ill; 
 tryals 	 trials 
her. One 	 her.     “One 
 one 	 one, 
 & 	 and 
 had died 	 died; 
 mother was now 	 mother, 
 daugher 	 daughter, 
troubled  and 	 troubled; 
judgement [ADDstart] sent[ADDend] from 	 judgment from 
[DELstart] punish[DELend][ADDstart] chastise[ADDend]  	 chastise 
partialli[ADDstart] t[ADDend] she 	 partiality. She 
 roman Catholic 	 Roman catholic; 
 encouraged 	 confirmed 
idea[ADDstart] ^[ADDend] which 	 idea which 
concieved. . 	 conceived. 
 Months 	 months 
